"","repo","user","nationality","coordinates","x","y"
126,"GeoNode/geonode","npmiller","Edinburgh, Scotland","(55.953252, -3.188267)",-3.188267,55.953252
128,"GeoNode/geonode","gdreich","London","(51.5073509, -0.1277583)",-0.1277583,51.5073509
130,"GeoNode/geonode","daniviga","Bergamo | Pavia, Italy","(45.1928553, 9.1849382)",9.1849382,45.1928553
131,"GeoNode/geonode","paltman","Nashville, TN","(36.1626638, -86.7816016)",-86.7816016,36.1626638
132,"GeoNode/geonode","sbenthall","Brooklyn, NY","(40.6781784, -73.9441579)",-73.9441579,40.6781784
134,"GeoNode/geonode","eg-novelt","Geneva, Switzerland","(46.2043907, 6.1431577)",6.1431577,46.2043907
136,"GeoNode/geonode","ahocevar","Austria","(47.516231, 14.550072)",14.550072,47.516231
138,"GeoNode/geonode","cstephen","Fairbanks, Alaska","(64.8377778, -147.7163888)",-147.7163888,64.8377778
139,"GeoNode/geonode","t-book","Leipzig / Germany","(51.3396955, 12.3730747)",12.3730747,51.3396955
141,"GeoNode/geonode","nloira","Santiago, Chile","(-33.4488897, -70.6692655)",-70.6692655,-33.4488897
142,"GeoNode/geonode","cdbrissac","United States","(37.09024, -95.712891)",-95.712891,37.09024
144,"GeoNode/geonode","twelch","Portland, OR","(45.5230622, -122.6764815)",-122.6764815,45.5230622
145,"GeoNode/geonode","ismailsunni","Yogyakarta, Indonesia","(-7.7955798, 110.3694896)",110.3694896,-7.7955798
149,"GeoNode/geonode","calvinmetcalf","Boston","(42.3600825, -71.0588801)",-71.0588801,42.3600825
150,"GeoNode/geonode","frewsxcv","New York City","(40.7127753, -74.0059728)",-74.0059728,40.7127753
152,"GeoNode/geonode","travislbrundage","Canada","(56.130366, -106.346771)",-106.346771,56.130366
154,"GeoNode/geonode","jmwenda","Nairobi, Kenya","(-1.2920659, 36.8219462)",36.8219462,-1.2920659
156,"GeoNode/geonode","lucernae","Bandung","(-6.9174639, 107.6191228)",107.6191228,-6.9174639
157,"GeoNode/geonode","markiliffe","Leicester, England","(52.6368778, -1.1397592)",-1.1397592,52.6368778
159,"GeoNode/geonode","darinacosta","Louisiana","(30.9842977, -91.9623327)",-91.96233269999999,30.9842977
161,"GeoNode/geonode","gannebamm","germany, höxter","(51.7774678, 9.3771214)",9.3771214,51.7774678
162,"GeoNode/geonode","gamesbook","South Africa","(-30.559482, 22.937506)",22.937506,-30.559482
